sender,from,subject,body,label
Banco Nacional,noreply@banconacional.com.co,Tu estado de cuenta de abril está listo,Hola tu extracto mensual ya está disponible. Ingresa a tu banca en línea para consultarlo.,0
OFERTA URGENTE!!!,promo@gana-millones.xyz,¡¡¡GANASTE $50.000.000 GRATIS!!! RECLAMA YA,Felicitaciones! Has sido seleccionado. Haz clic AHORA para reclamar tu premio. Oferta expira HOY.,1
Carlos Martínez,c.martinez@empresa.co,Reunión de equipo mañana a las 9am,Hola equipo confirmen asistencia para la reunión de planeación del trimestre. Gracias.,0
FARMACIA DESC.,ventas@pharmapills.net,Compra Viagra Cialis SIN RECETA — 90% descuento,Medicamentos de marca sin fórmula médica. Envío discreto. Paga con crypto.,1
GitHub,noreply@github.com,[PR #42] Feature: dark mode implementado,rodrigo_dev abrió un pull request en tu repositorio. Revisa los cambios propuestos.,0
BITCOIN GRATIS $$$,cryptoking@free-crypto.io,Gana 0.5 BTC hoy GRATIS sin inversión!,Sistema automático de multiplicación de criptomonedas. Solo necesitas tu wallet. URGENTE actúa hoy.,1
Ana Sofía López,a.lopez@universidad.edu,Re: Entrega del proyecto de machine learning,Hola adjunto la versión final del informe. Quedé muy contenta con los resultados del perceptrón.,0
HERBAL SLIM PRO,slim@dietpills-best.biz,Pierde 20 KILOS en 1 semana garantizado,Pastillas naturales milagrosas. Oferta limitada. Compra 2 lleva 5 GRATIS.,1
Spotify,no-reply@spotify.com,Tu resumen musical de la semana está aquí,Descubre tus artistas más escuchados esta semana y crea una playlist personalizada.,0
INVERSIONES,profits@invest-now.xyz,Duplica tu dinero en 48 horas — Método SECRETO,Inversión garantizada. Miles de clientes satisfechos. Mínimo $100.000 COP. No pierdas esta oportunidad ÚNICA.,1
Soporte AWS,aws-support@amazon.com,Notificación de uso de capa gratuita de AWS,Estimado usuario le informamos que ha consumido el 80% de las horas de su instancia EC2 este mes.,0
Laura Gómez (RRHH),l.gomez@empresa.co,Encuesta de clima organizacional obligatoria,Hola a todos les solicito responder la encuesta del trimestre antes del viernes. Sus respuestas son anónimas.,0
LinkedIn,messages-noreply@linkedin.com,Tienes 3 nuevas conexiones pendientes de revisar,Personas de tu misma universidad quieren conectar contigo. Revisa sus perfiles en la plataforma.,0
Netflix,info@netflix.com,Nuevas series y películas agregadas esta semana,Actualizamos nuestro catálogo con contenido adaptado a tus gustos. Entra a la app para ver los trailers.,0
Prof. Fernando,f.silva@universidad.edu,Notas parciales definitivas publicadas en el sistema,Estimados estudiantes ya pueden consultar las calificaciones del segundo parcial en la plataforma académica.,0
Google Search,sc-noreply@google.com,Informe mensual de rendimiento de tu sitio web,Tu repositorio de documentación web ha recibido más clics de búsqueda orgánica durante el último mes.,0
Coordinación Académica,sistemas@universidad.edu,Pre-matrículas abiertas para el próximo semestre,Se habilitó el sistema para la selección de materias electivas. Recuerden revisar los prerrequisitos.,0
Platzi,noreply@platzi.com,Tu ubicación ha sido verificada con éxito,Gracias por continuar tu aprendizaje con nosotros. Se ha procesado el pago de tu plan anual correctamente.,0
Stack Overflow,do-not-reply@stackoverflow.com,Tu respuesta al hilo de Python fue marcada como útil,Felicidades un usuario de la comunidad votó positivamente tu solución sobre arreglos multidimensionales.,0
Uber Recibos,uber.colombia@uber.com,Tu viaje del lunes por la tarde con Uber,Gracias por viajar con nosotros. Adjuntamos el desglose del cobro realizado a tu tarjeta registrada.,0
Trello Notifications,do-not-reply@trello.com,Fuiste asignado a una nueva tarjeta de actividades,El administrador te añadió a la tarea: Diseño del modelo de base de datos del proyecto final.,0
Banco Nacional,alertas@banconacional.com.co,Notificación de transferencia recibida PSE,Se ha registrado un abono en su cuenta de ahorros por concepto de nómina. Saldo disponible actualizado.,0
Diana Restrepo,diana.r@empresa.co,Minuta de la reunión de requerimientos de software,Hola equipo les comparto los puntos clave acordados con el cliente para el desarrollo del sprint.,0
Coursera,no-reply@coursera.org,Tu certificado del curso de Redes Neuronales está listo,Completaste satisfactoriamente todos los módulos del programa. Ya puedes descargar tu insignia.,0
